"Symbol","Name","IPO date","Market cap","Merger pending?","Leverage factor","Momentum factor 10","Momentum factor 200","P/B","Shares outstanding","Average trading volume","% traded","Action"
"EMPW","Empower Ltd. Class A","11/27/2020","$0","N","1.00","1.00","1.00","0.00","25,000,000","660,610","2.64%","Analyze"
"FMAC","FirstMark Horizon Acquisition Corp. Class A","11/27/2020","$0","N","1.00","1.00","1.00","0.00","41,400,000","14,008","0.03%","Analyze"
"LCY","Landcadia Holdings III, Inc. - Class A","11/27/2020","$0","N","1.00","0.00","0.00","0.00","0","0","0.00%","Analyze"
"MACU","Mallard Acquisition Corp.","11/27/2020","$0","N","1.00","0.00","0.00","0.00","0","0","0.00%","Analyze"
"PACE","TPG Pace Tech Opportunities Corp. Class A","11/27/2020","$0","N","1.00","1.00","1.00","1.01","45,000,000","100","0.00%","Analyze"
"TPGY","TPG Pace Beneficial Finance Corp. Class A","11/27/2020","$0","N","1.00","1.00","1.00","0.00","35,000,000","100","0.00%","Analyze"
"APSG","Apollo Strategic Growth Capital Class A","11/23/2020","$1,032,435,000","N","1.00","1.02","1.02","0.00","75,000,000","127,571","0.17%","Analyze"
"AVAN","Avanti Acquisition Corp. Class A","11/23/2020","$591,000,000","N","1.00","1.01","1.01","0.00","60,000,000","32,021","0.05%","Analyze"
"QELL","Qell Acquisition Corp. - Class A","11/23/2020","$417,450,000","N","0.00","1.03","1.03","0.00","37,950,000","596,609","1.57%","Analyze"
"SEAH","Sports Entertainment Acquisition Corp. Class A","11/23/2020","$389,200,000","N","1.00","1.00","1.00","0.00","40,000,000","135,791","0.34%","Analyze"
"IMPX","AEA-Bridges Impact Corp. Class A","11/23/2020","$388,400,000","N","1.00","1.00","1.00","0.00","40,000,000","5,358","0.01%","Analyze"
"ACTC","ArcLight Clean Transition Corp. - Class A","11/23/2020","$269,175,000","N","1.00","1.01","1.01","0.00","27,750,000","86,251","0.31%","Analyze"
"IGAC","IG Acquisition Corp. - Class A","11/23/2020","$0","N","0.00","0.00","0.00","0.00","30,000,000","0","0.00%","Analyze"
"VGAC","VG Acquisition Corp. Class A","11/23/2020","$0","N","1.00","1.02","1.02","0.00","0","1,377,415","0.00%","Analyze"
"VSPR","Vesper Healthcare Acquisition Corp. - Class A","11/20/2020","$469,660,000","N","0.00","0.94","0.94","0.00","46,000,000","2,410","0.01%","Analyze"
"CLII","Climate Change Crisis Real Impact I Acquisition Corporation Class A","11/20/2020","$230,690,000","N","0.00","1.01","1.01","0.00","23,000,000","26,828","0.12%","Analyze"
